iter	RMSE
0	6747.743419
1	6536.556787
2	6342.245763
3	6152.126331
4	5982.046947
5	5821.964547
6	5665.066178
7	5541.696199
8	5416.433947
9	5301.396604
10	5192.029397
11	5076.276837
12	4957.425136
13	4853.442043
14	4749.068372
15	4655.440944
16	4569.912116
17	4505.244774
18	4439.458307
19	4383.650877
20	4311.799409
21	4241.095524
22	4176.456544
23	4112.069446
24	4062.467142
25	4007.63429
26	3965.135839
27	3922.552448
28	3889.901243
29	3842.594483
30	3804.29689
31	3762.736976
32	3725.280854
33	3695.514852
34	3664.499934
35	3642.080032
36	3612.292594
37	3589.952327
38	3563.127065
39	3543.398556
40	3522.293554
41	3501.055285
42	3483.327542
43	3465.411813
44	3443.99837
45	3427.86666
46	3414.972672
47	3401.520228
48	3390.817882
49	3377.783454
50	3360.901542
51	3347.007654
52	3332.32148
53	3321.975859
54	3314.046004
55	3305.392837
56	3295.439907
57	3284.661777
58	3275.446471
59	3264.636488
60	3250.699658
61	3241.378713
62	3235.301659
63	3226.984056
64	3218.945677
65	3212.671642
66	3201.359034
67	3193.428359
68	3187.774378
69	3181.560366
70	3172.465789
71	3167.648789
72	3160.551033
73	3154.118895
74	3146.834791
75	3141.47638
76	3135.317871
77	3130.187286
78	3126.347684
79	3118.442254
80	3114.726018
81	3107.349872
82	3103.344471
83	3098.814915
84	3095.156768
85	3091.666391
86	3087.790079
87	3084.938695
88	3081.418328
89	3072.65076
90	3068.419809
91	3061.273986
92	3058.126816
93	3054.840907
94	3052.146023
95	3048.757147
96	3044.652699
97	3041.572515
98	3036.610884
99	3034.384895
100	3031.388187
101	3023.050376
102	3019.685359
103	3016.460255
104	3010.538315
105	3007.892849
106	2999.935058
107	2995.194628
108	2993.093956
109	2989.877855
110	2985.055536
111	2982.095053
112	2979.041795
113	2975.36009
114	2972.467716
115	2970.844812
116	2965.467685
117	2961.120292
118	2958.544124
119	2956.307348
120	2953.484153
121	2951.044234
122	2949.129773
123	2946.864608
124	2944.13312
125	2941.961645
126	2938.114405
127	2934.700213
128	2932.270071
129	2929.430522
130	2927.713211
131	2924.58489
132	2921.978822
133	2920.066247
134	2915.308469
135	2913.25708
136	2910.787885
137	2908.997163
138	2907.724962
139	2903.767291
140	2901.894756
141	2899.970371
142	2897.440277
143	2896.137103
144	2891.395534
145	2886.359206
146	2884.936138
147	2882.213968
